#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1642012440.054588,54588,0,0,0,0,97387748,86791248,93412044,180480,6775340,8876,436960,6594472,76780,13812,360180,6580660,0,0,8388604,6280312,0,0,69372,53492,14980,370068,237412,132656,10704,8600,0,0,0,57082476,3009072,34359738367,576596,34308614140,51200,0,24576,0,0,0,0,0,0,2048,439668,10711040,90177536
1642012440.058677,58677,1,0,0,0,97385144,32673380,93220216,4284,60569568,5560,44410928,16276248,21544,321304,44389384,15954944,0,0,8388604,8192508,0,0,111364,67276,229524,940236,759956,180280,14208,7180,0,0,0,57081176,1323200,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012440.056074,56074,2,0,0,0,97385124,93019984,93299248,4120,818368,5500,327828,608264,26796,268272,301032,339992,0,0,8388604,8172796,0,0,108656,64540,181464,342488,166280,176208,14400,7236,0,0,0,57081164,1403572,34359738367,583720,34308612092,54400,0,63488,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012440.0518,51800,5,0,0,0,3878040,196952,1142204,2068,1162068,0,2933424,565872,2346820,30064,586604,535808,0,0,0,0,0,0,2335160,79880,41724,86144,63172,22972,3008,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
1642012440.05263,52630,3,0,0,0,3878020,3200480,3406920,2088,432092,0,292324,213228,83536,29596,208788,183632,0,0,0,0,0,0,71436,70904,41760,72280,45704,26576,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012440.051807,51807,4,0,0,0,1813712,88412,1234016,2068,1307260,0,554504,1028136,298832,37000,255672,991136,0,0,0,0,40,0,273312,40396,62520,81544,59380,22164,2864,7040,0,0,0,906856,651656,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012500.05323,53230,0,0,0,0,97387748,86789600,93410420,180504,6775340,8876,437056,6594728,76876,14044,360180,6580684,0,0,8388604,6280312,0,0,69628,53492,14980,370008,237412,132596,10704,8600,0,0,0,57082476,3008928,34359738367,576596,34308614140,51200,0,22528,0,0,0,0,0,0,2048,439668,10711040,90177536
1642012500.055943,55943,2,0,0,0,97385124,93019000,93298272,4128,818368,5500,328836,608268,27804,268268,301032,340000,0,0,8388604,8172796,0,0,110084,64540,181464,342584,166280,176304,14400,7236,0,0,0,57081164,1403148,34359738367,583720,34308612092,54400,0,63488,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012500.057706,57706,1,0,0,0,97385144,32673808,93220652,4292,60569568,5560,44408960,16276272,19576,321320,44389384,15954952,0,0,8388604,8192508,0,0,108148,67276,229524,940284,759956,180328,14208,7180,0,0,0,57081176,1323196,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012500.052161,52161,5,0,0,0,3878040,197076,1142328,2068,1162068,0,2933424,565872,2346820,30064,586604,535808,0,0,0,0,0,0,2335160,79880,41724,86144,63172,22972,3008,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
